effect,obs,comp,fe,idx
0.780000000000001,800,1,country_code,B024
0.7675,800,1,country_code,B025
0.765000000000001,800,1,country_code,B026
0.74,800,1,country_code,B027
0.795,800,1,country_code,B028
0.737500000000001,800,1,country_code,B029
0.810000000000001,800,1,country_code,B030
0.812500000000001,800,1,country_code,B031
0.782500000000001,800,1,country_code,B032
0.775000000000001,800,1,country_code,B033
0.812500000000001,800,1,country_code,B034
0.820000000000001,800,1,country_code,B035
0.887500000000001,800,1,country_code,B036
0.800000000000001,800,1,country_code,B037
0.827500000000001,800,1,country_code,B038
0.855000000000001,800,1,country_code,B039
0.8425,800,1,country_code,B040
0.885000000000001,800,1,country_code,B041
0.852500000000001,800,1,country_code,B042
0.870000000000001,800,1,country_code,B043
0.835000000000001,800,1,country_code,B044
0.857500000000001,800,1,country_code,B045
0.860000000000001,800,1,country_code,B046
0.885000000000001,800,1,country_code,B047
0.875,800,1,country_code,B048
0.8925,800,1,country_code,B049
0.8875,800,1,country_code,B050
0.870000000000001,800,1,country_code,B051
0.897500000000001,800,1,country_code,B052
0.9275,800,1,country_code,B053
0.887500000000001,800,1,country_code,B054
0.882500000000001,800,1,country_code,B055
0.900000000000001,800,1,country_code,B056
0.907500000000001,800,1,country_code,B057
0.892500000000001,800,1,country_code,B058
0.9225,800,1,country_code,B059
0.885000000000001,800,1,country_code,B060
0.877500000000001,800,1,country_code,B061
0.91,800,1,country_code,B062
0.897500000000001,800,1,country_code,B063
0.890000000000001,800,1,country_code,B064
0.950000000000001,800,1,country_code,B065
0.9225,800,1,country_code,B066
0.9225,800,1,country_code,B067
0.9225,800,1,country_code,B068
0.9225,800,1,country_code,B069
0.927500000000001,800,1,country_code,B070
0.917500000000001,800,1,country_code,B071
0.952500000000001,800,1,country_code,B072
0.9225,800,1,country_code,B073
0.91,800,1,country_code,B074
0.942500000000001,800,1,country_code,B075
0.9725,800,1,country_code,B076
0.950000000000001,800,1,country_code,B077
0.945,800,1,country_code,B078
0.947500000000001,800,1,country_code,B079
0.940000000000001,800,1,country_code,B080
0.94,800,1,country_code,B081
0.942500000000001,800,1,country_code,B082
0.940000000000001,800,1,country_code,B083
0.9375,800,1,country_code,B084
0.9475,800,1,country_code,B085
0.965000000000001,800,1,country_code,B086
0.937500000000001,800,1,country_code,B087
0.945,800,1,country_code,B088
0.955,800,1,country_code,B089
0.955,800,1,country_code,B090
0.940000000000001,800,1,country_code,B091
0.9675,800,1,country_code,B092
0.942500000000001,800,1,country_code,B093
0.962500000000001,800,1,country_code,B094
0.950000000000001,800,1,country_code,B095
0.955,800,1,country_code,B096
0.970000000000001,800,1,country_code,B097
0.975000000000001,800,1,country_code,B098
0.955,800,1,country_code,B099
0.970000000000001,800,1,country_code,B100
0.125325,200,1,product_code,P1
0.135325,200,1,product_code,P10
0.125325,200,1,product_code,P100
0.125325,200,1,product_code,P101
0.125325,200,1,product_code,P102
0.0953249999999995,200,1,product_code,P103
0.135325,200,1,product_code,P104
0.0453249999999995,200,1,product_code,P105
0.115325,200,1,product_code,P106
0.115325,200,1,product_code,P107
0.115325,200,1,product_code,P108
0.115325,200,1,product_code,P109
0.135325,200,1,product_code,P11
0.0953249999999995,200,1,product_code,P110
0.125325,200,1,product_code,P111
0.105325,200,1,product_code,P112
0.125325,200,1,product_code,P113
0.105324999999999,200,1,product_code,P114
0.0653249999999995,200,1,product_code,P115
0.125325,200,1,product_code,P116
0.125325,200,1,product_code,P117
0.125324999999999,200,1,product_code,P118
0.125325,200,1,product_code,P119
0.135325,200,1,product_code,P12
0.125325,200,1,product_code,P120
0.125325,200,1,product_code,P121
0.0853249999999995,200,1,product_code,P122
0.125324999999999,200,1,product_code,P123
0.115325,200,1,product_code,P124
0.125324999999999,200,1,product_code,P125
0.0253249999999994,200,1,product_code,P126
0.0653249999999995,200,1,product_code,P127
-0.0546750000000006,200,1,product_code,P128
0.0953249999999995,200,1,product_code,P129
0.135325,200,1,product_code,P13
0.0953249999999994,200,1,product_code,P130
0.125325,200,1,product_code,P131
-0.0246750000000006,200,1,product_code,P132
-0.134675000000001,200,1,product_code,P133
-0.0346750000000005,200,1,product_code,P134
0.135325,200,1,product_code,P135
0.0753249999999995,200,1,product_code,P136
-0.174675,200,1,product_code,P137
0.0453249999999996,200,1,product_code,P138
0.0853249999999995,200,1,product_code,P139
0.135324999999999,200,1,product_code,P14
0.0553249999999995,200,1,product_code,P140
0.0453249999999995,200,1,product_code,P141
0.0853249999999995,200,1,product_code,P142
0.105325,200,1,product_code,P143
0.0853249999999994,200,1,product_code,P144
0.0953249999999995,200,1,product_code,P145
0.125324999999999,200,1,product_code,P146
0.105325,200,1,product_code,P147
0.115325,200,1,product_code,P148
0.00532499999999955,200,1,product_code,P149
0.135325,200,1,product_code,P15
0.0953249999999995,200,1,product_code,P150
0.115325,200,1,product_code,P151
0.0753249999999995,200,1,product_code,P152
0.0953249999999995,200,1,product_code,P153
0.0553249999999996,200,1,product_code,P154
0.0553249999999996,200,1,product_code,P155
0.0853249999999995,200,1,product_code,P156
0.135325,200,1,product_code,P157
0.115325,200,1,product_code,P158
0.135324999999999,200,1,product_code,P159
0.135325,200,1,product_code,P16
0.0953249999999996,200,1,product_code,P160
0.115325,200,1,product_code,P161
0.115325,200,1,product_code,P162
0.105325,200,1,product_code,P163
0.0353249999999996,200,1,product_code,P164
0.0953249999999995,200,1,product_code,P165
0.125325,200,1,product_code,P166
0.135324999999999,200,1,product_code,P167
0.0653249999999995,200,1,product_code,P168
-0.0146750000000004,200,1,product_code,P169
0.135325,200,1,product_code,P17
0.125324999999999,200,1,product_code,P170
0.0953249999999995,200,1,product_code,P171
0.0853249999999995,200,1,product_code,P172
0.0653249999999995,200,1,product_code,P173
0.0553249999999996,200,1,product_code,P174
0.115325,200,1,product_code,P175
0.00532499999999958,200,1,product_code,P176
0.105325,200,1,product_code,P177
0.0953249999999995,200,1,product_code,P178
0.105325,200,1,product_code,P179
0.135325,200,1,product_code,P18
0.0953249999999995,200,1,product_code,P180
0.0753249999999994,200,1,product_code,P181
-0.00467500000000048,200,1,product_code,P182
0.0753249999999995,200,1,product_code,P183
0.0853249999999996,200,1,product_code,P184
0.0853249999999995,200,1,product_code,P185
0.0453249999999995,200,1,product_code,P186
-0.0446750000000005,200,1,product_code,P187
0.0853249999999996,200,1,product_code,P188
0.0653249999999995,200,1,product_code,P189
0.115325,200,1,product_code,P19
0.0753249999999995,200,1,product_code,P190
0.105325,200,1,product_code,P191
0.0953249999999995,200,1,product_code,P192
-0.0346750000000005,200,1,product_code,P193
0.115325,200,1,product_code,P194
0.105325,200,1,product_code,P195
0.105325,200,1,product_code,P196
0.115325,200,1,product_code,P197
0.125324999999999,200,1,product_code,P198
0.0253249999999995,200,1,product_code,P199
0.135325,200,1,product_code,P2
0.135325,200,1,product_code,P20
0.0853249999999995,200,1,product_code,P200
0.0953249999999995,200,1,product_code,P201
0.115325,200,1,product_code,P202
0.0753249999999995,200,1,product_code,P203
0.0853249999999995,200,1,product_code,P204
-0.104675,200,1,product_code,P205
0.0453249999999995,200,1,product_code,P206
