year,exporter,population,eci,dist_from_ccp,dist_from_cp
1962,AFG,9345868.0,-0.6731632351875305,0.0,0.38104996964492616
1962,MRT,909174.0,-0.7868562340736389,0.0,0.25566415648879576
1962,YEM,5351799.0,-0.8857131600379944,0.0,0.20781065550200523
1962,AGO,5866061.0,-0.5635806918144226,0.0,0.9927011145114014
1962,DJI,94204.0,0.2755011022090912,0.0,0.21883630224486697
1962,ALB,1711319.0,-0.18079598248004913,0.0,0.2714730935094199
1962,BDI,2893669.0,-1.3498728275299072,0.0,0.30088597863243777
1962,LAO,2221122.0,-0.44187209010124207,0.0,0.25904989508046355
1962,PNG,2094687.0,-0.6633092761039734,0.0,0.3171259043802896
1962,MUS,700349.0,-1.664851188659668,0.0,0.2724759503393784
1962,REU,0.0,-0.7771626114845276,0.0,0.23746228766404248
1962,OMN,578824.0,0.027776766568422318,0.0,0.3443177688199207
1962,FJI,421577.0,-0.6686632633209229,0.0,0.3697551618522278
1962,UGA,7240174.0,-1.3861641883850098,0.0,0.5440239020770715
1962,SOM,2874190.0,-0.2697030007839203,0.0,0.5152873771081995
1962,ARG,21287682.0,-0.26773667335510254,0.6691718240184026,0.856940052882624
1962,BHS,121083.0,1.8697178363800049,0.0,0.5227928076289122
1962,NIC,1886562.0,-1.240699052810669,0.0,0.5002387271874076
1962,GUY,606285.0,0.10769473016262054,0.0,0.49758671518222286
1962,BRB,232586.0,0.16501401364803314,0.0,0.33436980572343655
1962,CAF,1556661.0,-1.2395987510681152,0.0,0.5746043580102593
1962,GLP,0.0,-0.8843250274658203,0.0,0.35366654818693116
1962,PRY,2005337.0,-0.9164975881576538,0.0,0.5753881418653088
1962,QAT,56263.0,-0.8296621441841125,0.0,0.18143263000203194
1962,SLE,2363013.0,-0.6217058300971985,0.0,0.5977865641604271
1962,SUR,306328.0,-0.19295763969421387,0.0,0.5243805003266587
1962,VUT,67808.0,-0.5098604559898376,0.0,0.4598971395714471
1962,GMB,383523.0,-0.6501523852348328,0.0,0.4052567470215309
1962,NER,3588156.0,-0.9094774127006531,0.0,0.8684735442368278
1962,BHR,173144.0,-0.1975071281194687,0.0,0.2753879275631083
1962,KWT,338296.0,-1.1086825132369995,0.423408195904907,0.1480347806334692
1962,AUS,10742000.0,0.04279055818915367,2.2497240651606107,1.1838089916003722
1962,ECU,4812890.0,-0.3132971525192261,0.0,0.5948841613870247
1962,HTI,4022593.0,0.045365024358034134,0.0,0.5655458702115387
1962,MTQ,0.0,-0.5253587365150452,0.0,0.21160476247985405
1962,SLV,2927857.0,-1.200094223022461,0.0,0.3657663044156102
1962,TTO,880023.0,-0.08301372081041336,0.0,0.5805257252399475
1962,BMU,46600.0,2.078857183456421,0.0,0.64587630261602
1962,GNB,629969.0,-1.2586305141448975,0.0,0.735360077066514
1962,MNG,1011324.0,-0.89757239818573,0.0,0.10403751062148413
1962,EGY,28506176.0,-0.25014322996139526,0.0,0.7960317157057287
1962,NZL,2482000.0,0.0627017691731453,0.0,0.4683148911598298
1962,MAC,176188.0,1.890612244606018,0.0,0.5199252691283359
1962,BFA,4960326.0,-0.2908678650856018,0.0,0.7993744943036368
1962,TCD,3121216.0,-0.3772848844528198,0.0,0.5841321125769856
1962,BEN,2502896.0,-0.508358895778656,0.0,0.6309779692816903
1962,MLI,5381368.0,-0.7972395420074463,0.0,0.6691183044134996
1962,GAB,509806.0,-1.056221604347229,0.0,0.504495983426442
1962,AUT,7129864.0,2.119002103805542,0.07012344481243717,2.8034752132627228
1962,GIN,3690664.0,-0.7646664977073669,0.0,0.5181750651564954
1962,IRQ,7674223.0,-0.8446611762046814,0.041842176836827186,0.4659371860540082
1962,ISL,182378.0,-0.016276856884360313,0.0,0.4424074307278197
1962,LBR,1170480.0,-0.658612847328186,0.0,0.31669078440984494
1962,MLT,323900.0,1.630652904510498,0.0,1.0280939675583078
1962,SAU,4362864.0,-0.8639416694641113,0.041842176836827186,0.31413392327554673
1962,TLS,518107.0,0.6360453367233276,0.0,0.5030645900882268
1962,TUN,4303131.0,-0.22748377919197083,0.0,0.7341233008929137
1962,URY,2603887.0,0.1515192687511444,0.0,0.6273504173706166
1962,BOL,3838097.0,-0.24108389019966125,0.0,0.3823446658287221
1962,CMR,5399922.0,-0.7845121026039124,0.0,0.9238303057995858
1962,COD,16041263.0,-0.759673535823822,0.0,0.6471896167355248
1962,COG,1092292.0,-0.8169010281562805,0.0,0.9233664025504332
1962,GHA,7085464.0,-0.7706607580184937,0.0,0.8524177301151634
1962,COL,17500172.0,-0.7309041619300842,0.0,0.4528467290268461
1962,ETH,23221388.0,-0.8813046216964722,0.0,0.8040452898639319
1962,LBY,1550813.0,-1.2464450597763062,0.0,0.545638517439008
1962,CIV,3841071.0,-0.8995763063430786,0.0,0.900428511123844
1962,SDN,8004121.0,-1.1106340885162354,0.0,0.5647222101257787
1962,BGR,8012946.0,0.36442288756370544,0.0,1.098638619081481
1962,BRA,76573248.0,-0.6685454249382019,0.5891982636518842,0.9221512702299873
1962,IRN,23071428.0,-0.9345853328704834,0.2552893269786965,0.6745780794905603
1962,JOR,1009733.0,0.3622991740703583,0.0,0.4049977305038978
1962,KHM,6028551.0,-0.6286026239395142,0.0,0.8458965703054713
1962,LBN,1925276.0,-0.42959579825401306,0.0,0.8891058698075285
1962,PRK,11871712.0,0.1821669340133667,0.0,0.2699942308052191
1962,ROU,18676550.0,0.20229049026966095,0.0,0.8313109013040889
1962,SYR,4875422.0,-0.9425861239433289,0.0,0.6262522562055188
