effect,obs,comp,fe,idx
-0.46125,800,1,country_code,B067
-0.46125,800,1,country_code,B068
-0.46125,800,1,country_code,B069
-0.46375,800,1,country_code,B070
-0.45875,800,1,country_code,B071
-0.47625,800,1,country_code,B072
-0.46125,800,1,country_code,B073
-0.455,800,1,country_code,B074
-0.47125,800,1,country_code,B075
-0.48625,800,1,country_code,B076
-0.475,800,1,country_code,B077
-0.4725,800,1,country_code,B078
-0.47375,800,1,country_code,B079
-0.47,800,1,country_code,B080
-0.47,800,1,country_code,B081
-0.47125,800,1,country_code,B082
-0.47,800,1,country_code,B083
-0.46875,800,1,country_code,B084
-0.47375,800,1,country_code,B085
-0.4825,800,1,country_code,B086
-0.46875,800,1,country_code,B087
-0.4725,800,1,country_code,B088
-0.4775,800,1,country_code,B089
-0.4775,800,1,country_code,B090
-0.47,800,1,country_code,B091
-0.48375,800,1,country_code,B092
-0.47125,800,1,country_code,B093
-0.48125,800,1,country_code,B094
-0.475,800,1,country_code,B095
-0.4775,800,1,country_code,B096
-0.485,800,1,country_code,B097
-0.4875,800,1,country_code,B098
-0.4775,800,1,country_code,B099
-0.485,800,1,country_code,B100
0.4373375,200,1,product_code,P1
0.4323375,200,1,product_code,P10
0.4373375,200,1,product_code,P100
0.4373375,200,1,product_code,P101
0.4373375,200,1,product_code,P102
0.4523375,200,1,product_code,P103
0.4323375,200,1,product_code,P104
0.4773375,200,1,product_code,P105
0.4423375,200,1,product_code,P106
0.4423375,200,1,product_code,P107
0.4423375,200,1,product_code,P108
0.4423375,200,1,product_code,P109
0.4323375,200,1,product_code,P11
0.4523375,200,1,product_code,P110
0.4373375,200,1,product_code,P111
0.4473375,200,1,product_code,P112
0.4373375,200,1,product_code,P113
0.4473375,200,1,product_code,P114
0.4673375,200,1,product_code,P115
0.4373375,200,1,product_code,P116
0.4373375,200,1,product_code,P117
0.4373375,200,1,product_code,P118
0.4373375,200,1,product_code,P119
0.4323375,200,1,product_code,P12
0.4373375,200,1,product_code,P120
0.4373375,200,1,product_code,P121
0.4573375,200,1,product_code,P122
0.4373375,200,1,product_code,P123
0.4423375,200,1,product_code,P124
0.4373375,200,1,product_code,P125
0.4873375,200,1,product_code,P126
0.4673375,200,1,product_code,P127
0.5273375,200,1,product_code,P128
0.4523375,200,1,product_code,P129
0.4323375,200,1,product_code,P13
0.4523375,200,1,product_code,P130
0.4373375,200,1,product_code,P131
0.5123375,200,1,product_code,P132
0.5673375,200,1,product_code,P133
0.5173375,200,1,product_code,P134
0.4323375,200,1,product_code,P135
0.4623375,200,1,product_code,P136
0.5873375,200,1,product_code,P137
0.4773375,200,1,product_code,P138
0.4573375,200,1,product_code,P139
0.4323375,200,1,product_code,P14
0.4723375,200,1,product_code,P140
0.4773375,200,1,product_code,P141
0.4573375,200,1,product_code,P142
0.4473375,200,1,product_code,P143
0.4573375,200,1,product_code,P144
0.4523375,200,1,product_code,P145
0.4373375,200,1,product_code,P146
0.4473375,200,1,product_code,P147
0.4423375,200,1,product_code,P148
0.4973375,200,1,product_code,P149
0.4323375,200,1,product_code,P15
0.4523375,200,1,product_code,P150
0.4423375,200,1,product_code,P151
0.4623375,200,1,product_code,P152
0.4523375,200,1,product_code,P153
0.4723375,200,1,product_code,P154
0.4723375,200,1,product_code,P155
0.4573375,200,1,product_code,P156
0.4323375,200,1,product_code,P157
0.4423375,200,1,product_code,P158
0.4323375,200,1,product_code,P159
0.4323375,200,1,product_code,P16
0.4523375,200,1,product_code,P160
0.4423375,200,1,product_code,P161
0.4423375,200,1,product_code,P162
0.4473375,200,1,product_code,P163
0.4823375,200,1,product_code,P164
0.4523375,200,1,product_code,P165
0.4373375,200,1,product_code,P166
0.4323375,200,1,product_code,P167
0.4673375,200,1,product_code,P168
0.5073375,200,1,product_code,P169
0.4323375,200,1,product_code,P17
0.4373375,200,1,product_code,P170
0.4523375,200,1,product_code,P171
0.4573375,200,1,product_code,P172
0.4673375,200,1,product_code,P173
0.4723375,200,1,product_code,P174
0.4423375,200,1,product_code,P175
0.4973375,200,1,product_code,P176
0.4473375,200,1,product_code,P177
0.4523375,200,1,product_code,P178
0.4473375,200,1,product_code,P179
0.4323375,200,1,product_code,P18
0.4523375,200,1,product_code,P180
0.4623375,200,1,product_code,P181
0.5023375,200,1,product_code,P182
0.4623375,200,1,product_code,P183
0.4573375,200,1,product_code,P184
0.4573375,200,1,product_code,P185
0.4773375,200,1,product_code,P186
0.5223375,200,1,product_code,P187
0.4573375,200,1,product_code,P188
0.4673375,200,1,product_code,P189
0.4423375,200,1,product_code,P19
0.4623375,200,1,product_code,P190
0.4473375,200,1,product_code,P191
0.4523375,200,1,product_code,P192
0.5173375,200,1,product_code,P193
0.4423375,200,1,product_code,P194
0.4473375,200,1,product_code,P195
0.4473375,200,1,product_code,P196
0.4423375,200,1,product_code,P197
0.4373375,200,1,product_code,P198
0.4873375,200,1,product_code,P199
0.4323375,200,1,product_code,P2
0.4323375,200,1,product_code,P20
0.4573375,200,1,product_code,P200
0.4523375,200,1,product_code,P201
0.4423375,200,1,product_code,P202
0.4623375,200,1,product_code,P203
0.4573375,200,1,product_code,P204
0.5523375,200,1,product_code,P205
0.4773375,200,1,product_code,P206
0.4523375,200,1,product_code,P207
0.4373375,200,1,product_code,P208
0.5073375,200,1,product_code,P209
0.4323375,200,1,product_code,P21
0.4373375,200,1,product_code,P210
0.4473375,200,1,product_code,P211
0.4423375,200,1,product_code,P212
0.4423375,200,1,product_code,P213
