year,exporter,population,eci,leftDistance2Origin_cp,leftDistance2Origin_ccp,leftSimDirection2MostComplex_cp,leftSimDirection2MostComplex_ccp,leftDistance2MostComplex_cp,leftDistance2MostComplex_ccp,leftEntropyCommunities_cp,leftEntropyCommunities_ccp,rightDistance2Origin_cp,rightDistance2Origin_ccp,rightSimDirection2MostComplex_cp,rightSimDirection2MostComplex_ccp,rightDistance2MostComplex_cp,rightDistance2MostComplex_ccp,rightEntropyCommunities_cp,rightEntropyCommunities_ccp,EntropyCommunities_ccp,EntropyCommunities_cp
1962,MRT,909174.0,-0.7868562340736389,1.1883192475016608,0.0,-0.009796920756766223,0.0,0.22043951185619035,0.014057439891272184,0,0,0.43650880243244833,0.0,-0.003563677665160766,0.0,0.5602514993287443,1.0615622686186106,0,0,4.248326325244096,14.991931329650445
1962,AGO,5866061.0,-0.5635806918144226,1.128278693454271,0.0,-0.009870977841368362,0.0,0.214862331511508,0.014057439891272184,0,0,1.2061860476601072,0.0,-0.00361776292263036,0.0,0.5975224755705426,1.0615622686186106,0,0,4.248326325244096,14.991931329650445
1962,ALB,1711319.0,-0.18079598248004913,0.9556894451991221,0.0,-0.007998100780526875,0.0,0.18812599324443782,0.014057439891272184,0,0,0.9227363461046225,0.0,0.0010807925269507935,0.0,0.5410693018362627,1.0615622686186106,0,0,4.248326325244096,14.991931329650445
1962,PNG,2094687.0,-0.6633092761039734,1.114556371839065,0.0,-0.009555581747245282,0.0,0.21179591785259014,0.014057439891272184,0,0,0.4623601911421918,0.0,-0.003045574987830105,0.0,0.5590281483636325,1.0615622686186106,0,0,4.248326325244096,14.991931329650445
1962,OMN,578824.0,0.027776766568422318,1.7782572022628027,0.0,-0.003103559857943015,0.0,0.231331844808919,0.014057439891272184,0,0,2.35105559812992,0.0,0.0016306754757058402,0.0,0.5556074958718838,1.0615622686186106,0,0,4.248326325244096,14.991931329650445
1962,UGA,7240174.0,-1.3861641883850098,1.6947446551590215,0.0,-0.009994583340346079,0.0,0.2721691662966285,0.014057439891272184,0,0,0.4874910321874723,0.0,-0.005315248167199216,0.0,0.570616617357307,1.0615622686186106,0,0,4.248326325244096,14.991931329650445
1962,ARG,21287682.0,-0.26773667335510254,1.0732503849730313,2.494523915930812,-0.00836298188840877,0.008637085446012101,0.20127861044727166,0.2374165946642973,0,0,3.08544415663458,1.0847833631941748,0.0008060380639465978,-0.0030160813619862876,0.602707937877175,1.0991570768481924,0,0,4.248326325244096,14.991931329650445
1962,NIC,1886562.0,-1.240699052810669,1.6044527775741633,0.0,-0.009874551346291876,0.0,0.2623877731529537,0.014057439891272184,0,0,0.6791073842892176,0.0,-0.004443832069626248,0.0,0.5766060192257986,1.0615622686186106,0,0,4.248326325244096,14.991931329650445
1962,PRY,2005337.0,-0.9164975881576538,1.3489237488757981,0.0,-0.009988815410375669,0.0,0.23755648830245946,0.014057439891272184,0,0,0.7757598000276757,0.0,-0.004578632543076532,0.0,0.5828233079320762,1.0615622686186106,0,0,4.248326325244096,14.991931329650445
1962,QAT,56263.0,-0.8296621441841125,3.9870053349293744,0.0,-0.0026181986127449316,0.0,0.4369929046227889,0.014057439891272184,0,0,0.5349207141835466,0.0,0.00148630511859408,0.0,0.5378661952813046,1.0615622686186106,0,0,4.248326325244096,14.991931329650445
1962,KWT,338296.0,-1.1086825132369995,6.7498599457119095,0.0,-0.0021028662928460665,0.0,0.703791395053992,0.014057439891272184,0,0,1.3776435214553402,0.0,0.00148626013728317,0.0,0.5401948457882916,1.0615622686186106,0,0,4.248326325244096,14.991931329650445
1962,AUS,10742000.0,0.04279055818915367,0.7635542906496,0.34376432764776466,-0.009065167941633322,-0.008688435318846343,0.1749422856005678,0.047107098199135784,0,0,1.9873311349673182,2.7854696376663237,0.0008756040087730735,-0.007813745366028938,0.5618417833186132,1.2909685763795087,0,0,4.248326325244096,14.991931329650445
1962,ECU,4812890.0,-0.3132971525192261,0.9064956118638591,0.0,-0.009614189378059837,0.0,0.19151198422567636,0.014057439891272184,0,0,0.6185840306756407,0.0,-0.002685693517754386,0.0,0.5629846335535117,1.0615622686186106,0,0,4.248326325244096,14.991931329650445
1962,SLV,2927857.0,-1.200094223022461,1.6053992954700296,0.0,-0.009898669981431565,0.0,0.2626337413318267,0.014057439891272184,0,0,0.4054202360593231,0.0,-0.0045594970736019145,0.0,0.5628521177716603,1.0615622686186106,0,0,4.248326325244096,14.991931329650445
1962,TTO,880023.0,-0.08301372081041336,0.6953515180335534,0.0,-0.009532245243013967,0.0,0.170313813831469,0.014057439891272184,0,0,0.35642792910970544,0.0,0.0006098617578161398,0.0,0.5422039401041723,1.0615622686186106,0,0,4.248326325244096,14.991931329650445
1962,EGY,28506176.0,-0.25014322996139526,0.8848971564714772,0.0,-0.00998796002349058,0.0,0.19116181706284022,0.014057439891272184,0,0,0.5809701430675859,0.0,-0.002324037031345714,0.0,0.5595715450924672,1.0615622686186106,0,0,4.248326325244096,14.991931329650445
1962,NZL,2482000.0,0.0627017691731453,0.7889071256930305,0.0,-0.008434607768776404,0.0,0.17449508872526995,0.014057439891272184,0,0,0.8739764854335687,0.0,0.00115660250104923,0.0,0.5401227922284422,1.0615622686186106,0,0,4.248326325244096,14.991931329650445
1962,MLI,5381368.0,-0.7972395420074463,1.3017489831611344,0.0,-0.00998752080159948,0.0,0.23283258247142155,0.014057439891272184,0,0,0.6347268052757886,0.0,-0.004453207404802209,0.0,0.5742938548844726,1.0615622686186106,0,0,4.248326325244096,14.991931329650445
